event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_rounding_issue,code_issue_dot,code
Atopic dermatitis,MEDCODEID,Contact dermatitis due to alkali,"","",possible,Im,ATOPDERMATITIS,COV,4804551000006116,4804551000006116,4804551000006116
Atopic dermatitis,MEDCODEID,Contact dermatitis due to alkalis,"","",possible,Im,ATOPDERMATITIS,COV,308532014,308532014,308532014
Atopic dermatitis,MEDCODEID,Contact dermatitis due to arnica,"","",possible,Im,ATOPDERMATITIS,COV,67908018,67908018,67908018
Atopic dermatitis,MEDCODEID,Contact dermatitis due to casting materials,"","",possible,Im,ATOPDERMATITIS,COV,308622012,308622012,308622012
Atopic dermatitis,MEDCODEID,Contact dermatitis due to caustics,"","",possible,Im,ATOPDERMATITIS,COV,308533016,308533016,308533016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to cereal,"","",possible,Im,ATOPDERMATITIS,COV,590631000006113,590631000006113,590631000006113
Atopic dermatitis,MEDCODEID,Contact dermatitis due to chlorocompound,"","",possible,Im,ATOPDERMATITIS,COV,308509010,308509010,308509010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to cold weather,"","",possible,Im,ATOPDERMATITIS,COV,98560010,98560010,98560010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to cosmetics,"","",possible,Im,ATOPDERMATITIS,COV,130689015,130689015,130689015
Atopic dermatitis,MEDCODEID,Contact dermatitis due to cyclohexane,"","",possible,Im,ATOPDERMATITIS,COV,308510017,308510017,308510017
Atopic dermatitis,MEDCODEID,Contact dermatitis due to detergent,"","",possible,Im,ATOPDERMATITIS,COV,2990471000006118,2990471000006118,2990471000006118
Atopic dermatitis,MEDCODEID,Contact dermatitis due to detergents,"","",possible,Im,ATOPDERMATITIS,COV,50967012,50967012,50967012
Atopic dermatitis,MEDCODEID,Contact dermatitis due to dichromate,"","",possible,Im,ATOPDERMATITIS,COV,71306016,71306016,71306016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to drugs AND-OR medicine,"","",possible,Im,ATOPDERMATITIS,COV,590701000006112,590701000006112,590701000006112
Atopic dermatitis,MEDCODEID,Contact dermatitis due to dye,"","",possible,Im,ATOPDERMATITIS,COV,590711000006110,590711000006110,590711000006110
Atopic dermatitis,MEDCODEID,Contact dermatitis due to ester,"","",possible,Im,ATOPDERMATITIS,COV,308511018,308511018,308511018
Atopic dermatitis,MEDCODEID,Contact dermatitis due to fish,"","",possible,Im,ATOPDERMATITIS,COV,60975016,60975016,60975016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to flour,"","",possible,Im,ATOPDERMATITIS,COV,93035017,93035017,93035017
Atopic dermatitis,MEDCODEID,Contact dermatitis due to food NOS,"","",possible,Im,ATOPDERMATITIS,COV,399914010,399914010,399914010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to food in contact with skin,"","",possible,Im,ATOPDERMATITIS,COV,112091013,112091013,112091013
Atopic dermatitis,MEDCODEID,Contact dermatitis due to fruit,"","",possible,Im,ATOPDERMATITIS,COV,31691015,31691015,31691015
Atopic dermatitis,MEDCODEID,Contact dermatitis due to fungicide,"","",possible,Im,ATOPDERMATITIS,COV,590781000006115,590781000006115,590781000006115
Atopic dermatitis,MEDCODEID,Contact dermatitis due to fur,"","",possible,Im,ATOPDERMATITIS,COV,4805211000006115,4805211000006115,4805211000006115
Atopic dermatitis,MEDCODEID,Contact dermatitis due to furs,"","",possible,Im,ATOPDERMATITIS,COV,308609016,308609016,308609016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to glycol,"","",possible,Im,ATOPDERMATITIS,COV,308512013,308512013,308512013
Atopic dermatitis,MEDCODEID,Contact dermatitis due to hot weather,"","",possible,Im,ATOPDERMATITIS,COV,81109013,81109013,81109013
Atopic dermatitis,MEDCODEID,Contact dermatitis due to hydrocarbon,"","",possible,Im,ATOPDERMATITIS,COV,308513015,308513015,308513015
Atopic dermatitis,MEDCODEID,Contact dermatitis due to infra-red rays,"","",possible,Im,ATOPDERMATITIS,COV,590831000006112,590831000006112,590831000006112
Atopic dermatitis,MEDCODEID,Contact dermatitis due to insecticide,"","",possible,Im,ATOPDERMATITIS,COV,178428014,178428014,178428014
Atopic dermatitis,MEDCODEID,Contact dermatitis due to iodine,"","",possible,Im,ATOPDERMATITIS,COV,137914019,137914019,137914019
Atopic dermatitis,MEDCODEID,Contact dermatitis due to jewellery,"","",possible,Im,ATOPDERMATITIS,COV,506552014,506552014,506552014
Atopic dermatitis,MEDCODEID,Contact dermatitis due to keratolytic,"","",possible,Im,ATOPDERMATITIS,COV,4804471000006110,4804471000006110,4804471000006110
Atopic dermatitis,MEDCODEID,Contact dermatitis due to keratolytics,"","",possible,Im,ATOPDERMATITIS,COV,308519016,308519016,308519016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to ketone,"","",possible,Im,ATOPDERMATITIS,COV,308514014,308514014,308514014
Atopic dermatitis,MEDCODEID,Contact dermatitis due to lacquer tree,"","",possible,Im,ATOPDERMATITIS,COV,108646019,108646019,108646019
Atopic dermatitis,MEDCODEID,Contact dermatitis due to light- except sun,"","",possible,Im,ATOPDERMATITIS,COV,590901000006110,590901000006110,590901000006110
Atopic dermatitis,MEDCODEID,Contact dermatitis due to meat,"","",possible,Im,ATOPDERMATITIS,COV,121124014,121124014,121124014
Atopic dermatitis,MEDCODEID,Contact dermatitis due to medicament NOS,"","",possible,Im,ATOPDERMATITIS,COV,308526016,308526016,308526016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to mercurial,"","",possible,Im,ATOPDERMATITIS,COV,590931000006119,590931000006119,590931000006119
Atopic dermatitis,MEDCODEID,Contact dermatitis due to milk,"","",possible,Im,ATOPDERMATITIS,COV,108236013,108236013,108236013
Atopic dermatitis,MEDCODEID,Contact dermatitis due to neomycin,"","",possible,Im,ATOPDERMATITIS,COV,54060018,54060018,54060018
Atopic dermatitis,MEDCODEID,Contact dermatitis due to nickel,"","",possible,Im,ATOPDERMATITIS,COV,674911000006116,674911000006116,674911000006116
Atopic dermatitis,MEDCODEID,Contact dermatitis due to nylon,"","",possible,Im,ATOPDERMATITIS,COV,138508015,138508015,138508015
Atopic dermatitis,MEDCODEID,Contact dermatitis due to oil and grease,"","",possible,Im,ATOPDERMATITIS,COV,5501981000006111,5501981000006111,5501981000006111
Atopic dermatitis,MEDCODEID,Contact dermatitis due to oils and greases,"","",possible,Im,ATOPDERMATITIS,COV,399913016,399913016,399913016
Atopic dermatitis,MEDCODEID,Contact dermatitis due to other specified agents,"","",possible,Im,ATOPDERMATITIS,COV,308602013,308602013,308602013
Atopic dermatitis,MEDCODEID,Contact dermatitis due to pediculicide,"","",possible,Im,ATOPDERMATITIS,COV,591011000006116,591011000006116,591011000006116
Atopic dermatitis,MEDCODEID,Contact dermatitis due to phenol,"","",possible,Im,ATOPDERMATITIS,COV,591021000006112,591021000006112,591021000006112
Atopic dermatitis,MEDCODEID,Contact dermatitis due to plants,"","",possible,Im,ATOPDERMATITIS,COV,308552010,308552010,308552010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to plants NOS,"","",possible,Im,ATOPDERMATITIS,COV,308560011,308560011,308560011
Atopic dermatitis,MEDCODEID,Contact dermatitis due to plastic,"","",possible,Im,ATOPDERMATITIS,COV,53389017,53389017,53389017
Atopic dermatitis,MEDCODEID,Contact dermatitis due to poison ivy,"","",possible,Im,ATOPDERMATITIS,COV,4804661000006118,4804661000006118,4804661000006118
Atopic dermatitis,MEDCODEID,Contact dermatitis due to poison oak,"","",possible,Im,ATOPDERMATITIS,COV,4804761000006110,4804761000006110,4804761000006110
Atopic dermatitis,MEDCODEID,Contact dermatitis due to poison sumac,"","",possible,Im,ATOPDERMATITIS,COV,591081000006111,591081000006111,591081000006111
Atopic dermatitis,MEDCODEID,Contact dermatitis due to poison-ivy,"","",possible,Im,ATOPDERMATITIS,COV,308554011,308554011,308554011
Atopic dermatitis,MEDCODEID,Contact dermatitis due to poison-oak,"","",possible,Im,ATOPDERMATITIS,COV,308555012,308555012,308555012
Atopic dermatitis,MEDCODEID,Contact dermatitis due to preservatives,"","",possible,Im,ATOPDERMATITIS,COV,308618019,308618019,308618019
Atopic dermatitis,MEDCODEID,Contact dermatitis due to primrose,"","",possible,Im,ATOPDERMATITIS,COV,2050012,2050012,2050012
Atopic dermatitis,MEDCODEID,Contact dermatitis due to radiation,"","",possible,Im,ATOPDERMATITIS,COV,308619010,308619010,308619010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to ragweed,"","",possible,Im,ATOPDERMATITIS,COV,89646013,89646013,89646013
Atopic dermatitis,MEDCODEID,Contact dermatitis due to rubber,"","",possible,Im,ATOPDERMATITIS,COV,77108018,77108018,77108018
Atopic dermatitis,MEDCODEID,Contact dermatitis due to scabicide,"","",possible,Im,ATOPDERMATITIS,COV,591151000006116,591151000006116,591151000006116
Atopic dermatitis,MEDCODEID,Contact dermatitis due to solar radiation,"","",possible,Im,ATOPDERMATITIS,COV,20373018,20373018,20373018
Atopic dermatitis,MEDCODEID,Contact dermatitis due to solar radn NOS,"","",possible,Im,ATOPDERMATITIS,COV,308573010,308573010,308573010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to solvent NOS,"","",possible,Im,ATOPDERMATITIS,COV,308515010,308515010,308515010
Atopic dermatitis,MEDCODEID,Contact dermatitis due to solvents,"","",possible,Im,ATOPDERMATITIS,COV,38664014,38664014,38664014
Atopic dermatitis,MEDCODEID,Contact dermatitis due to ultra-violet rays (excluding sun),"","",possible,Im,ATOPDERMATITIS,COV,591201000006113,591201000006113,591201000006113
Atopic dermatitis,MEDCODEID,Contact dermatitis due to ultraviolet rays (excluding sunlight),"","",possible,Im,ATOPDERMATITIS,COV,4805261000006117,4805261000006117,4805261000006117
Atopic dermatitis,MEDCODEID,Contact dermatitis of eyelid,"","",possible,Im,ATOPDERMATITIS,COV,223901000000111,223901000000111,223901000000111
Atopic dermatitis,MEDCODEID,Contact dermatitis of hands,"","",possible,Im,ATOPDERMATITIS,COV,6663251000006117,6663251000006117,6663251000006117
Atopic dermatitis,MEDCODEID,Contact dermatitis- chemicals,"","",possible,Im,ATOPDERMATITIS,COV,889221000006119,889221000006119,889221000006119
Atopic dermatitis,MEDCODEID,Contact dermatitis- other chemicals NOS,"","",possible,Im,ATOPDERMATITIS,COV,308539017,308539017,308539017
Atopic dermatitis,MEDCODEID,Contact dermatitis- specified agent NOS,"","",possible,Im,ATOPDERMATITIS,COV,308623019,308623019,308623019
Atopic dermatitis,MEDCODEID,Contact dermatitis- sun,"","",possible,Im,ATOPDERMATITIS,COV,889241000006114,889241000006114,889241000006114
Atopic dermatitis,MEDCODEID,Contact dermatitis-eczema,"","",possible,Im,ATOPDERMATITIS,COV,889201000006112,889201000006112,889201000006112
Atopic dermatitis,MEDCODEID,Contact dermatitis-food-plants,"","",possible,Im,ATOPDERMATITIS,COV,889231000006116,889231000006116,889231000006116
Atopic dermatitis,MEDCODEID,Contact eczema,"","",possible,Im,ATOPDERMATITIS,COV,1494721011,1494721011,1494721011
Atopic dermatitis,MEDCODEID,Contact eczema,"","",possible,Im,ATOPDERMATITIS,COV,3148031000006112,3148031000006112,3148031000006112
Atopic dermatitis,MEDCODEID,Contact eczema - eyelids,"","",possible,Im,ATOPDERMATITIS,COV,219361000000115,219361000000115,219361000000115
Atopic dermatitis,MEDCODEID,Contact or allergic eyelid dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,399476014,399476014,399476014
Atopic dermatitis,MEDCODEID,Contagious pustular dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,122961018,122961018,122961018
Atopic dermatitis,MEDCODEID,Crusted eczema,"","",narrow,Im,ATOPDERMATITIS,COV,4354871000006117,4354871000006117,4354871000006117
Atopic dermatitis,MEDCODEID,Crusted eczematous dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,4354881000006119,4354881000006119,4354881000006119
Atopic dermatitis,MEDCODEID,Dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,740221000006117,740221000006117,740221000006117
Atopic dermatitis,MEDCODEID,Dermatitis artefacta,"","",possible,Im,ATOPDERMATITIS,COV,46407019,46407019,46407019
Atopic dermatitis,MEDCODEID,Dermatitis as late effect of radiation,"","",possible,Im,ATOPDERMATITIS,COV,13500601000006111,13500601000006111,13500601000006111
Atopic dermatitis,MEDCODEID,Dermatitis due to drug AND-OR medicine taken internally,"","",possible,Im,ATOPDERMATITIS,COV,3819391000006117,3819391000006117,3819391000006117
Atopic dermatitis,MEDCODEID,Dermatitis due to substances taken internally,"","",possible,Im,ATOPDERMATITIS,COV,309325011,309325011,309325011
Atopic dermatitis,MEDCODEID,Dermatitis exfoliativa neonatorum,"","",narrow,Im,ATOPDERMATITIS,COV,614311000006110,614311000006110,614311000006110
Atopic dermatitis,MEDCODEID,Dermatitis factitia,"","",possible,Im,ATOPDERMATITIS,COV,46406011,46406011,46406011
Atopic dermatitis,MEDCODEID,Dermatitis herpetiformis,"","",narrow,Im,ATOPDERMATITIS,COV,178429018,178429018,178429018
Atopic dermatitis,MEDCODEID,Dermatitis of eyelid,"","",narrow,Im,ATOPDERMATITIS,COV,154630014,154630014,154630014
Atopic dermatitis,MEDCODEID,Dermatitis of eyelid,"","",narrow,Im,ATOPDERMATITIS,COV,636491000006112,636491000006112,636491000006112
Atopic dermatitis,MEDCODEID,Dermatitis vegetans,"","",possible,Im,ATOPDERMATITIS,COV,25148011,25148011,25148011
Atopic dermatitis,MEDCODEID,Dermatitis-dermatoses,"","",narrow,Im,ATOPDERMATITIS,COV,614361000006113,614361000006113,614361000006113
Atopic dermatitis,MEDCODEID,Dermatitis-eczema,"","",narrow,Im,ATOPDERMATITIS,COV,950591000006112,950591000006112,950591000006112
Atopic dermatitis,MEDCODEID,Dermatitis-eczemas,"","",narrow,Im,ATOPDERMATITIS,COV,889171000006113,889171000006113,889171000006113
Atopic dermatitis,MEDCODEID,Dermatitis-eczemas NOS,"","",narrow,Im,ATOPDERMATITIS,COV,889151000006115,889151000006115,889151000006115
Atopic dermatitis,MEDCODEID,Desiccation eczema,"","",narrow,Im,ATOPDERMATITIS,COV,5123791000006111,5123791000006111,5123791000006111
Atopic dermatitis,MEDCODEID,Discoid atopic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,5122881000006113,5122881000006113,5122881000006113
Atopic dermatitis,MEDCODEID,Discoid eczema,"","",narrow,Im,ATOPDERMATITIS,COV,622951000006114,622951000006114,622951000006114
Atopic dermatitis,MEDCODEID,Discoid eczema,"","",narrow,Im,ATOPDERMATITIS,COV,622961000006111,622961000006111,622961000006111
Atopic dermatitis,MEDCODEID,Discoid eczema of hand,"","",narrow,Im,ATOPDERMATITIS,COV,6667341000006118,6667341000006118,6667341000006118
Atopic dermatitis,MEDCODEID,Discoid eczema of hands and feet,"","",narrow,Im,ATOPDERMATITIS,COV,5123081000006111,5123081000006111,5123081000006111
Atopic dermatitis,MEDCODEID,Discoid pattern atopic eczema,"","",narrow,Im,ATOPDERMATITIS,COV,5122901000006110,5122901000006110,5122901000006110
Atopic dermatitis,MEDCODEID,Disseminated secondary eczema,"","",possible,Im,ATOPDERMATITIS,COV,5123661000006112,5123661000006112,5123661000006112
Atopic dermatitis,MEDCODEID,Drug-induced exfoliative dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,5128891000006113,5128891000006113,5128891000006113
Atopic dermatitis,MEDCODEID,Dry eczema,"","",narrow,Im,ATOPDERMATITIS,COV,4510851000006113,4510851000006113,4510851000006113
Atopic dermatitis,MEDCODEID,Dry skin dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,5423811000006111,5423811000006111,5423811000006111
Atopic dermatitis,MEDCODEID,Dyshidrotic eczema,"","",narrow,Im,ATOPDERMATITIS,COV,6667251000006110,6667251000006110,6667251000006110
Atopic dermatitis,MEDCODEID,Eczema,"","",narrow,Im,ATOPDERMATITIS,COV,399917015,399917015,399917015
Atopic dermatitis,MEDCODEID,Eczema craquele,"","",narrow,Im,ATOPDERMATITIS,COV,4806791000006114,4806791000006114,4806791000006114
Atopic dermatitis,MEDCODEID,Eczema herpeticum,"","",narrow,Im,ATOPDERMATITIS,COV,4742271000006114,4742271000006114,4742271000006114
Atopic dermatitis,MEDCODEID,Eczema herpeticum - Kaposi-s varicelliform eruption,"","",narrow,Im,ATOPDERMATITIS,COV,286729018,286729018,286729018
Atopic dermatitis,MEDCODEID,Eczema of ear lobe,"","",narrow,Im,ATOPDERMATITIS,COV,4062561000006110,4062561000006110,4062561000006110
Atopic dermatitis,MEDCODEID,Eczema of external auditory canal,"","",narrow,Im,ATOPDERMATITIS,COV,4062591000006119,4062591000006119,4062591000006119
Atopic dermatitis,MEDCODEID,Eczema of external ear,"","",narrow,Im,ATOPDERMATITIS,COV,512310013,512310013,512310013
Atopic dermatitis,MEDCODEID,Eczema of face,"","",narrow,Im,ATOPDERMATITIS,COV,5886801000006117,5886801000006117,5886801000006117
Atopic dermatitis,MEDCODEID,Eczema of fingers,"","",narrow,Im,ATOPDERMATITIS,COV,6662171000006110,6662171000006110,6662171000006110
Atopic dermatitis,MEDCODEID,Eczema of leg,"","",narrow,Im,ATOPDERMATITIS,COV,5986641000006111,5986641000006111,5986641000006111
Atopic dermatitis,MEDCODEID,Eczema of nipple,"","",narrow,Im,ATOPDERMATITIS,COV,674301000006118,674301000006118,674301000006118
Atopic dermatitis,MEDCODEID,Eczema of scalp,"","",narrow,Im,ATOPDERMATITIS,COV,7997831000006117,7997831000006117,7997831000006117
Atopic dermatitis,MEDCODEID,Eczema of wrist,"","",narrow,Im,ATOPDERMATITIS,COV,5886821000006110,5886821000006110,5886821000006110
Atopic dermatitis,MEDCODEID,Eczema- thrombocytopenia- immunodeficiency syndrome,"","",possible,Im,ATOPDERMATITIS,COV,3081251000006115,3081251000006115,3081251000006115
Atopic dermatitis,MEDCODEID,Eczema-Dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,1008901000006113,1008901000006113,1008901000006113
Atopic dermatitis,MEDCODEID,Eczema-Dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,1577061000006119,1577061000006119,1577061000006119
Atopic dermatitis,MEDCODEID,Eczematised,"","",possible,Im,ATOPDERMATITIS,COV,5359991000006115,5359991000006115,5359991000006115
Atopic dermatitis,MEDCODEID,Eczematised psoriasis,"","",possible,Im,ATOPDERMATITIS,COV,5123891000006117,5123891000006117,5123891000006117
Atopic dermatitis,MEDCODEID,Eczematous dermatitis of bilateral eyelids,"","",narrow,Im,ATOPDERMATITIS,COV,9308901000006116,9308901000006116,9308901000006116
Atopic dermatitis,MEDCODEID,Eczematous dermatitis of eyelid,"","",narrow,Im,ATOPDERMATITIS,COV,3084411000006117,3084411000006117,3084411000006117
Atopic dermatitis,MEDCODEID,Eczematous drug eruption,"","",possible,Im,ATOPDERMATITIS,COV,5128831000006114,5128831000006114,5128831000006114
Atopic dermatitis,MEDCODEID,Eczematous intertrigo,"","",narrow,Im,ATOPDERMATITIS,COV,5123351000006118,5123351000006118,5123351000006118
Atopic dermatitis,MEDCODEID,Eczematous otitis externa,"","",possible,Im,ATOPDERMATITIS,COV,4062611000006113,4062611000006113,4062611000006113
Atopic dermatitis,MEDCODEID,Egg contact dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,357561017,357561017,357561017
Atopic dermatitis,MEDCODEID,Elastoplast contact dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,357560016,357560016,357560016
Atopic dermatitis,MEDCODEID,Endogenous eczema,"","",narrow,Im,ATOPDERMATITIS,COV,5122841000006119,5122841000006119,5122841000006119
Atopic dermatitis,MEDCODEID,Erythrodermic atopic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,5122911000006113,5122911000006113,5122911000006113
Atopic dermatitis,MEDCODEID,Erythrodermic eczema,"","",narrow,Im,ATOPDERMATITIS,COV,1779279014,1779279014,1779279014
Atopic dermatitis,MEDCODEID,Exacerbation of eczema,"","",narrow,Im,ATOPDERMATITIS,COV,980491000006115,980491000006115,980491000006115
Atopic dermatitis,MEDCODEID,Excoriated eczema,"","",narrow,Im,ATOPDERMATITIS,COV,4354891000006116,4354891000006116,4354891000006116
Atopic dermatitis,MEDCODEID,Excoriated eczematous dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,4354901000006117,4354901000006117,4354901000006117
Atopic dermatitis,MEDCODEID,Exfoliative dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,6632811000006117,6632811000006117,6632811000006117
Atopic dermatitis,MEDCODEID,Exfoliative dermatitis due to psoriasis,"","",possible,Im,ATOPDERMATITIS,COV,4805991000006118,4805991000006118,4805991000006118
Atopic dermatitis,MEDCODEID,Eyelid eczema,"","",narrow,Im,ATOPDERMATITIS,COV,3084431000006111,3084431000006111,3084431000006111
Atopic dermatitis,MEDCODEID,Facial eczema,"","",narrow,Im,ATOPDERMATITIS,COV,14076941000006111,14076941000006111,14076941000006111
Atopic dermatitis,MEDCODEID,Facial eczema,"","",narrow,Im,ATOPDERMATITIS,COV,3201111000006116,3201111000006116,3201111000006116
Atopic dermatitis,MEDCODEID,Facial seborrhoeic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,6661811000006115,6661811000006115,6661811000006115
Atopic dermatitis,MEDCODEID,Faeces-induced contact dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,5123551000006114,5123551000006114,5123551000006114
Atopic dermatitis,MEDCODEID,Fibreglass dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,5122351000006110,5122351000006110,5122351000006110
Atopic dermatitis,MEDCODEID,Flexural atopic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,6661161000006111,6661161000006111,6661161000006111
Atopic dermatitis,MEDCODEID,Flexural eczema,"","",narrow,Im,ATOPDERMATITIS,COV,94953018,94953018,94953018
Atopic dermatitis,MEDCODEID,Flexural seborrhoeic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,5123291000006118,5123291000006118,5123291000006118
Atopic dermatitis,MEDCODEID,Follicular atopic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,5122931000006119,5122931000006119,5122931000006119
Atopic dermatitis,MEDCODEID,Follicular atopic eczema,"","",narrow,Im,ATOPDERMATITIS,COV,5122941000006112,5122941000006112,5122941000006112
Atopic dermatitis,MEDCODEID,Foot eczema,"","",narrow,Im,ATOPDERMATITIS,COV,6662341000006116,6662341000006116,6662341000006116
Atopic dermatitis,MEDCODEID,Friction eczema,"","",possible,Im,ATOPDERMATITIS,COV,5122031000006118,5122031000006118,5122031000006118
Atopic dermatitis,MEDCODEID,Friction palmar eczema,"","",possible,Im,ATOPDERMATITIS,COV,5122041000006111,5122041000006111,5122041000006111
Atopic dermatitis,MEDCODEID,Fungal dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,2730661000006111,2730661000006111,2730661000006111
Atopic dermatitis,MEDCODEID,Fungal dermatitis of eyelid,"","",possible,Im,ATOPDERMATITIS,COV,5027661000006114,5027661000006114,5027661000006114
Atopic dermatitis,MEDCODEID,Generalised atopic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,6661201000006117,6661201000006117,6661201000006117
Atopic dermatitis,MEDCODEID,Generalised atopic eczema,"","",narrow,Im,ATOPDERMATITIS,COV,6661221000006110,6661221000006110,6661221000006110
Atopic dermatitis,MEDCODEID,Generalised eczema,"","",narrow,Im,ATOPDERMATITIS,COV,6663461000006119,6663461000006119,6663461000006119
Atopic dermatitis,MEDCODEID,Generalised seborrhoeic dermatitis of infants,"","",narrow,Im,ATOPDERMATITIS,COV,2616141000006116,2616141000006116,2616141000006116
Atopic dermatitis,MEDCODEID,Gravitational eczema,"","",narrow,Im,ATOPDERMATITIS,COV,486191017,486191017,486191017
Atopic dermatitis,MEDCODEID,Grease contact dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,357558018,357558018,357558018
Atopic dermatitis,MEDCODEID,H-O- eczema,"","",narrow,Im,ATOPDERMATITIS,COV,251783011,251783011,251783011
Atopic dermatitis,MEDCODEID,Hand and-or foot eczema,"","",narrow,Im,ATOPDERMATITIS,COV,6667181000006110,6667181000006110,6667181000006110
Atopic dermatitis,MEDCODEID,Hand dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,5122811000006118,5122811000006118,5122811000006118
Atopic dermatitis,MEDCODEID,Hand eczema,"","",narrow,Im,ATOPDERMATITIS,COV,357504010,357504010,357504010
Atopic dermatitis,MEDCODEID,Hereditary acrodermatitis enteropathica,"","",possible,Im,ATOPDERMATITIS,COV,3107001000006114,3107001000006114,3107001000006114
Atopic dermatitis,MEDCODEID,Herpes simplex dermatitis of eyelid,"","",possible,Im,ATOPDERMATITIS,COV,4742371000006117,4742371000006117,4742371000006117
Atopic dermatitis,MEDCODEID,History of eczema,"","",narrow,Im,ATOPDERMATITIS,COV,4541271000006119,4541271000006119,4541271000006119
Atopic dermatitis,MEDCODEID,Hyperkeratotic eczema of hands and feet,"","",narrow,Im,ATOPDERMATITIS,COV,5123051000006115,5123051000006115,5123051000006115
Atopic dermatitis,MEDCODEID,Hyperkeratotic eczema of palms,"","",narrow,Im,ATOPDERMATITIS,COV,5123131000006111,5123131000006111,5123131000006111
Atopic dermatitis,MEDCODEID,Hyperkeratotic eczema of palms and soles,"","",narrow,Im,ATOPDERMATITIS,COV,5123061000006118,5123061000006118,5123061000006118
Atopic dermatitis,MEDCODEID,Hyperkeratotic eczema of soles,"","",narrow,Im,ATOPDERMATITIS,COV,5123221000006115,5123221000006115,5123221000006115
Atopic dermatitis,MEDCODEID,Hyperkeratotic fissured eczema of palms,"","",narrow,Im,ATOPDERMATITIS,COV,13792241000006110,13792241000006110,13792241000006110
Atopic dermatitis,MEDCODEID,Hyperkeratotic fissured hand eczema,"","",narrow,Im,ATOPDERMATITIS,COV,5123121000006113,5123121000006113,5123121000006113
Atopic dermatitis,MEDCODEID,ICD - Irritant contact dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,4189031000006112,4189031000006112,4189031000006112
Atopic dermatitis,MEDCODEID,Implant allergic nickel contact dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,5123461000006110,5123461000006110,5123461000006110
Atopic dermatitis,MEDCODEID,Incontinence-associated dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,2233571000000112,2233571000000112,2233571000000112
Atopic dermatitis,MEDCODEID,Infantile atopic eczema,"","",narrow,Im,ATOPDERMATITIS,COV,6661401000006116,6661401000006116,6661401000006116
Atopic dermatitis,MEDCODEID,Infantile eczema,"","",narrow,Im,ATOPDERMATITIS,COV,150503015,150503015,150503015
Atopic dermatitis,MEDCODEID,Infantile papular acrodermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,137226019,137226019,137226019
Atopic dermatitis,MEDCODEID,Infantile seborrhoeic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,14055391000006113,14055391000006113,14055391000006113
Atopic dermatitis,MEDCODEID,Infantile seborrhoeic dermatitis,"","",narrow,Im,ATOPDERMATITIS,COV,308492014,308492014,308492014
Atopic dermatitis,MEDCODEID,Infantile seborrhoeic dermatitis NOS,"","",narrow,Im,ATOPDERMATITIS,COV,308495011,308495011,308495011
Atopic dermatitis,MEDCODEID,Infantile seborrhoeic dermatitis capitis,"","",narrow,Im,ATOPDERMATITIS,COV,737371000006110,737371000006110,737371000006110
Atopic dermatitis,MEDCODEID,Infected eczema,"","",narrow,Im,ATOPDERMATITIS,COV,1779345010,1779345010,1779345010
Atopic dermatitis,MEDCODEID,Infectious eczematoid dermatitis,"","",possible,Im,ATOPDERMATITIS,COV,492621013,492621013,492621013
