event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,event_abbreviation,type,code
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB56,Udvidet venstresidig hemikolektomi,,,narrow,TP,COLECTOMY,AESI,KJFB56
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB57,Laparoskopisk udvidet venstresidig hemikolektomi,,,narrow,TP,COLECTOMY,AESI,KJFB57
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB60,Resektion af colon sigmoideum med kolostomi [Resection of sigmoid colon with end colostomy],,,narrow,TP,COLECTOMY,AESI,KJFB60
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB61,Laparoskopisk resektion af colon sigmoideum med kolostomi og distal lukning [Laparoscopic resection of sigmoid colon with end colostomy and closure of distal stump],,,narrow,TP,COLECTOMY,AESI,KJFB61
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB63,Anden tyktarmsresektion med kolostomi og distal lukning [Other resection of colon with proximal colostomy and closure of distal stump],,,narrow,TP,COLECTOMY,AESI,KJFB63
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB64,Anden laparoskopisk colonresektion med kolostomi og distal lukning [Other laparoscopic resection of colon with proximal colostomy and closure of distal stump],,,narrow,TP,COLECTOMY,AESI,KJFB64
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB96,Anden tarmresektion [Other partial excision of intestine],,,narrow,TP,COLECTOMY,AESI,KJFB96
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFB97,Anden laparoskopisk tarmresektion [Other laparoscopic partial excision of intestine],,,narrow,TP,COLECTOMY,AESI,KJFB97
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFH00,Kolektomi og ileorektostomi [Total colectomy and ileorectal anastomosis],,,narrow,TP,COLECTOMY,AESI,KJFH00
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFH01,Laparoskopisk kolektomi og ileorektostomi [Laparoscopic total colectomy and ileorectal anastomosis],,,narrow,TP,COLECTOMY,AESI,KJFH01
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFH10,Kolektomi og ileostomi [Total colectomy and ileostomy With distal mucosal fistula or closure of rectal stump],,,narrow,TP,COLECTOMY,AESI,KJFH10
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFH11,Laparoskopisk kolektomi og ileostomi [Laparoscopic total colectomy and ileostomy],,,narrow,TP,COLECTOMY,AESI,KJFH11
Colectomy in Ulcerative colitis,NCMPNCSPNCRP,KJFH96,Anden kolektomi [Other total colectomy],,,narrow,TP,COLECTOMY,AESI,KJFH96
Colectomy in Ulcerative colitis,SCTSPA,10371000132109,polipectomÃ­a colonoscÃ³pica de colon con asa,-,-,narrow,TP,COLECTOMY,AESI,10371000132109
Colectomy in Ulcerative colitis,SCTSPA,13327002,colectomÃ­a parcial por abordaje transanal,-,-,narrow,TP,COLECTOMY,AESI,13327002
Colectomy in Ulcerative colitis,SCTSPA,1390003,colectomÃ­a sigmoidea- asistida por laparoscopia,-,-,narrow,TP,COLECTOMY,AESI,1390003
Colectomy in Ulcerative colitis,SCTSPA,1409005,colectomÃ­a derecha,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,1409005
Colectomy in Ulcerative colitis,SCTSPA,16564004,operaciÃ³n de Hartmann- resecciÃ³n rectal,-,-,narrow,TP,COLECTOMY,AESI,16564004
Colectomy in Ulcerative colitis,SCTSPA,174059005,resecciÃ³n de colon y recto,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,174059005
Colectomy in Ulcerative colitis,SCTSPA,174070003,resecciÃ³n total de colon- SAI,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,174070003
Colectomy in Ulcerative colitis,SCTSPA,174071004,hemicolectomÃ­a derecha ampliada,-,-,narrow,TP,COLECTOMY,AESI,174071004
Colectomy in Ulcerative colitis,SCTSPA,174072006,hemicolectomÃ­a derecha ampliada y anastomosis terminoterminal,-,-,narrow,TP,COLECTOMY,AESI,174072006
Colectomy in Ulcerative colitis,SCTSPA,174073001,hemicolectomÃ­a derecha ampliada y anastomosis ileocÃ³lica,-,-,narrow,TP,COLECTOMY,AESI,174073001
Colectomy in Ulcerative colitis,SCTSPA,174080004,hemicolectomÃ­a derecha y anastomosis ileocÃ³lica terminoterminal,-,-,narrow,TP,COLECTOMY,AESI,174080004
Colectomy in Ulcerative colitis,SCTSPA,174081000,hemicolectomÃ­a derecha y anastomosis laterolateral de Ã­leon a colon transverso,-,-,narrow,TP,COLECTOMY,AESI,174081000
Colectomy in Ulcerative colitis,SCTSPA,174086005,colectomÃ­a transversa y anastomosis terminoterminal,-,-,narrow,TP,COLECTOMY,AESI,174086005
Colectomy in Ulcerative colitis,SCTSPA,174087001,colectomÃ­a transversa y anastomosis de Ã­leon a colon,-,-,narrow,TP,COLECTOMY,AESI,174087001
Colectomy in Ulcerative colitis,SCTSPA,174092004,resecciÃ³n de colon transverso- SAI,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,174092004
Colectomy in Ulcerative colitis,SCTSPA,174093009,hemicolectomÃ­a izquierda y anastomosis colorrectal terminoterminal,-,-,narrow,TP,COLECTOMY,AESI,174093009
Colectomy in Ulcerative colitis,SCTSPA,174094003,hemicolectomÃ­a izquierda y anastomosis colocolÃ³nica terminoterminal,-,-,narrow,TP,COLECTOMY,AESI,174094003
Colectomy in Ulcerative colitis,SCTSPA,174099008,resecciÃ³n de hemicolon izquierdo- SAI,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,174099008
Colectomy in Ulcerative colitis,SCTSPA,174100000,colectomÃ­a sigmoidea y anastomosis terminoterminal de Ã­leon a recto,-,-,narrow,TP,COLECTOMY,AESI,174100000
Colectomy in Ulcerative colitis,SCTSPA,174101001,colectomÃ­a sigmoidea y anastomosis de colon a recto,-,-,narrow,TP,COLECTOMY,AESI,174101001
Colectomy in Ulcerative colitis,SCTSPA,174241004,resecciÃ³n anterior de recto y anastomosis de colon a recto mediante sutura mecÃ¡nica,C0400192,Anterior resection of rectum and anastomosis of colon to rectum using staples,narrow,TP,COLECTOMY,AESI,174241004
Colectomy in Ulcerative colitis,SCTSPA,235325001,hemicolectomÃ­a izquierda ampliada,-,-,narrow,TP,COLECTOMY,AESI,235325001
Colectomy in Ulcerative colitis,SCTSPA,235326000,hemicolectomÃ­a derecha,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,235326000
Colectomy in Ulcerative colitis,SCTSPA,23968004,resecciÃ³n de colon,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,23968004
Colectomy in Ulcerative colitis,SCTSPA,26390003,colectomÃ­a total,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,26390003
Colectomy in Ulcerative colitis,SCTSPA,265411006,resecciÃ³n parcial de recto y colon sigmoide por prolapso,-,-,narrow,TP,COLECTOMY,AESI,265411006
Colectomy in Ulcerative colitis,SCTSPA,265412004,rectosigmoidectomÃ­a y rectopexia,-,-,narrow,TP,COLECTOMY,AESI,265412004
Colectomy in Ulcerative colitis,SCTSPA,26925005,resecciÃ³n de colon transverso,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,26925005
Colectomy in Ulcerative colitis,SCTSPA,274025005,polipectomÃ­a colÃ³nica,-,-,narrow,TP,COLECTOMY,AESI,274025005
Colectomy in Ulcerative colitis,SCTSPA,275017002,remociÃ³n de Duhamel de tabique colorrectal,C0554057,Duhamel removal of colorectal septum,narrow,TP,COLECTOMY,AESI,275017002
Colectomy in Ulcerative colitis,SCTSPA,276190007,resecciÃ³n ileocÃ³lica,C1280902,Ileocolic resection,narrow,TP,COLECTOMY,AESI,276190007
Colectomy in Ulcerative colitis,SCTSPA,287815004,resecciÃ³n de mucosa de colostomÃ­a excedente,-,-,narrow,TP,COLECTOMY,AESI,287815004
Colectomy in Ulcerative colitis,SCTSPA,301699000,resecciÃ³n con lazo de lesiÃ³n de colon,C0578387,Snare resection of lesion of colon,narrow,TP,COLECTOMY,AESI,301699000
Colectomy in Ulcerative colitis,SCTSPA,304583001,hemicolectomÃ­a derecha ampliada e ileostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,304583001
Colectomy in Ulcerative colitis,SCTSPA,304587000,resecciÃ³n de reservorio colÃ³nico,C0582489,Excision of colonic pouch,narrow,TP,COLECTOMY,AESI,304587000
Colectomy in Ulcerative colitis,SCTSPA,307507006,resecciÃ³n de fÃ­stula yeyunocÃ³lica,-,-,narrow,TP,COLECTOMY,AESI,307507006
Colectomy in Ulcerative colitis,SCTSPA,307586000,colectomÃ­a transversa laparoscÃ³pica,-,-,narrow,TP,COLECTOMY,AESI,307586000
Colectomy in Ulcerative colitis,SCTSPA,307644001,colectomÃ­a transversa e ileostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,307644001
Colectomy in Ulcerative colitis,SCTSPA,307645000,colectomÃ­a transversa y colostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,307645000
Colectomy in Ulcerative colitis,SCTSPA,307648003,colectomÃ­a sigmoidea e ileostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,307648003
Colectomy in Ulcerative colitis,SCTSPA,307654002,colectomÃ­a subtotal con anastomosis cecorrectal,-,-,narrow,TP,COLECTOMY,AESI,307654002
Colectomy in Ulcerative colitis,SCTSPA,307656000,colectomÃ­a subtotal con anastomosis ileosigmoidea,-,-,narrow,TP,COLECTOMY,AESI,307656000
Colectomy in Ulcerative colitis,SCTSPA,307657009,hemicolectomÃ­a izquierda y colostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,307657009
Colectomy in Ulcerative colitis,SCTSPA,307658004,colectomÃ­a sigmoidea y colostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,307658004
Colectomy in Ulcerative colitis,SCTSPA,307659007,colectomÃ­a subtotal con anastomosis ileorrectal,-,-,narrow,TP,COLECTOMY,AESI,307659007
Colectomy in Ulcerative colitis,SCTSPA,307662005,resecciÃ³n de fÃ­stula colocutÃ¡nea,-,-,narrow,TP,COLECTOMY,AESI,307662005
Colectomy in Ulcerative colitis,SCTSPA,307666008,ileostomÃ­a y colectomÃ­a total,-,-,narrow,TP,COLECTOMY,AESI,307666008
Colectomy in Ulcerative colitis,SCTSPA,307667004,colectomÃ­a total- ileostomÃ­a y fÃ­stula mucosa rectal,-,-,narrow,TP,COLECTOMY,AESI,307667004
Colectomy in Ulcerative colitis,SCTSPA,307669001,colectomÃ­a total- ileostomÃ­a y cierre de muÃ±Ã³n rectal,-,-,narrow,TP,COLECTOMY,AESI,307669001
Colectomy in Ulcerative colitis,SCTSPA,31130001,colectomÃ­a abdominal total- con protectomÃ­a e ileostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,31130001
Colectomy in Ulcerative colitis,SCTSPA,311774002,polipectomÃ­a colonoscÃ³pica,-,-,narrow,TP,COLECTOMY,AESI,311774002
Colectomy in Ulcerative colitis,SCTSPA,312406002,resecciÃ³n anterior de recto con anastomosis por sutura mecÃ¡nica de colon sigmoide a ano con creaciÃ³n de reservorio en J,C0729753,Anterior resection of rectum with stapled anastomosis of sigmoid colon to anus with creation of J pouch,narrow,TP,COLECTOMY,AESI,312406002
Colectomy in Ulcerative colitis,SCTSPA,315321001,hemicolectomÃ­a derecha y anastomosis ileocÃ³lica,-,-,narrow,TP,COLECTOMY,AESI,315321001
Colectomy in Ulcerative colitis,SCTSPA,315322008,colectomÃ­a transversa con anastomosis,-,-,narrow,TP,COLECTOMY,AESI,315322008
Colectomy in Ulcerative colitis,SCTSPA,315324009,hemicolectomÃ­a izquierda con anastomosis,-,-,narrow,TP,COLECTOMY,AESI,315324009
Colectomy in Ulcerative colitis,SCTSPA,315325005,hemicolectomÃ­a izquierda con estoma,-,-,narrow,TP,COLECTOMY,AESI,315325005
Colectomy in Ulcerative colitis,SCTSPA,315326006,colectomÃ­a sigmoidea con anastomosis,-,-,narrow,TP,COLECTOMY,AESI,315326006
Colectomy in Ulcerative colitis,SCTSPA,315327002,colectomÃ­a sigmoidea con estoma,-,-,narrow,TP,COLECTOMY,AESI,315327002
Colectomy in Ulcerative colitis,SCTSPA,32044008,colectomÃ­a parcial por abordaje abdominal,-,-,narrow,TP,COLECTOMY,AESI,32044008
Colectomy in Ulcerative colitis,SCTSPA,359571009,colectomÃ­a derecha,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,359571009
Colectomy in Ulcerative colitis,SCTSPA,36192008,colectomÃ­a abdominal total- con ileoproctostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,36192008
Colectomy in Ulcerative colitis,SCTSPA,386197003,resecciÃ³n de divertÃ­culos colÃ³nicos,-,-,narrow,TP,COLECTOMY,AESI,386197003
Colectomy in Ulcerative colitis,SCTSPA,41330009,colectomÃ­a izquierda- asistida por laparoscopia,-,-,narrow,TP,COLECTOMY,AESI,41330009
Colectomy in Ulcerative colitis,SCTSPA,427997001,resecciÃ³n subtotal de colon y recto con creaciÃ³n de bolsillo colÃ³nico y anastomosis coloanal,-,-,narrow,TP,COLECTOMY,AESI,427997001
Colectomy in Ulcerative colitis,SCTSPA,43075005,resecciÃ³n parcial del colon,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,43075005
Colectomy in Ulcerative colitis,SCTSPA,440033009,fijaciÃ³n laparoscÃ³pica de prolapso rectal con resecciÃ³n de colon sigmoide,-,-,possible,TP,COLECTOMY,AESI,440033009
Colectomy in Ulcerative colitis,SCTSPA,443480008,resecciÃ³n laparoscÃ³pica de parte del colon,C2733511,Laparoscopic excision of part of colon,narrow,TP,COLECTOMY,AESI,443480008
Colectomy in Ulcerative colitis,SCTSPA,44378008,colectomÃ­a parcial con anastomosis quirÃºrgica,-,-,narrow,TP,COLECTOMY,AESI,44378008
Colectomy in Ulcerative colitis,SCTSPA,443909001,resecciÃ³n de parte del colon con movilizaciÃ³n del Ã¡ngulo esplÃ©nico,C2733474,Excision of part of colon with mobilization of splenic flexure,narrow,TP,COLECTOMY,AESI,443909001
Colectomy in Ulcerative colitis,SCTSPA,444165004,resecciÃ³n de parte del colon y resecciÃ³n de Ã­leon terminal con anastomosis ileocÃ³lica,C2733466,Excision of part of colon and excision of terminal ileum with ileocolic anastomosis,narrow,TP,COLECTOMY,AESI,444165004
Colectomy in Ulcerative colitis,SCTSPA,445884009,resecciÃ³n en cuÃ±a de colon,C2959634,Wedge resection of colon,narrow,TP,COLECTOMY,AESI,445884009
Colectomy in Ulcerative colitis,SCTSPA,446222007,colectomÃ­a laparoscÃ³pica izquierda asistida manualmente,-,-,narrow,TP,COLECTOMY,AESI,446222007
Colectomy in Ulcerative colitis,SCTSPA,446223002,colectomÃ­a laparoscÃ³pica derecha asistida manualmente,-,-,narrow,TP,COLECTOMY,AESI,446223002
Colectomy in Ulcerative colitis,SCTSPA,446228006,colectomÃ­a laparoscÃ³pica izquierda ampliada asistida manualmente,-,-,narrow,TP,COLECTOMY,AESI,446228006
Colectomy in Ulcerative colitis,SCTSPA,44642007,colectomÃ­a parcial con colostomÃ­a y creaciÃ³n de mucofÃ­stula,-,-,narrow,TP,COLECTOMY,AESI,44642007
Colectomy in Ulcerative colitis,SCTSPA,446472006,incisiÃ³n de colon y resecciÃ³n de pÃ³lipo,-,-,narrow,TP,COLECTOMY,AESI,446472006
Colectomy in Ulcerative colitis,SCTSPA,446521004,colonoscopia y resecciÃ³n de mucosa de colon,-,-,narrow,TP,COLECTOMY,AESI,446521004
Colectomy in Ulcerative colitis,SCTSPA,446747005,sigmoidoscopia y resecciÃ³n de mucosa de colon sigmoide,-,-,possible,TP,COLECTOMY,AESI,446747005
Colectomy in Ulcerative colitis,SCTSPA,447166008,colectomÃ­a laparoscÃ³pica derecha ampliada asistida manualmente,-,-,narrow,TP,COLECTOMY,AESI,447166008
Colectomy in Ulcerative colitis,SCTSPA,44751009,colectomÃ­a abdominal total- con proctectomÃ­a e ileostomÃ­a continente,-,-,narrow,TP,COLECTOMY,AESI,44751009
Colectomy in Ulcerative colitis,SCTSPA,447946003,hemicolectomÃ­a derecha e ileostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,447946003
Colectomy in Ulcerative colitis,SCTSPA,448050005,colectomÃ­a y anastomosis laterolateral de Ã­leon a colon,C3164339,Colectomy and side to side anastomosis of ileum to colon,narrow,TP,COLECTOMY,AESI,448050005
Colectomy in Ulcerative colitis,SCTSPA,450461000,resecciÃ³n subtotal de colon y creaciÃ³n de reservorio colÃ³nico,-,-,narrow,TP,COLECTOMY,AESI,450461000
Colectomy in Ulcerative colitis,SCTSPA,450462007,resecciÃ³n subtotal de colon y recto y creaciÃ³n de reservorio colÃ³nico,-,-,narrow,TP,COLECTOMY,AESI,450462007
Colectomy in Ulcerative colitis,SCTSPA,456004,colectomÃ­a abdominal total- con ileostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,456004
Colectomy in Ulcerative colitis,SCTSPA,50774009,colectomÃ­a derecha- asistida por laparoscopia,-,-,narrow,TP,COLECTOMY,AESI,50774009
Colectomy in Ulcerative colitis,SCTSPA,54164009,rectosigmoidectomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,54164009
Colectomy in Ulcerative colitis,SCTSPA,713165008,colectomÃ­a total laparoscÃ³pica con anastomosis ileorrectal,-,-,narrow,TP,COLECTOMY,AESI,713165008
Colectomy in Ulcerative colitis,SCTSPA,73509004,colectomÃ­a parcial con colostomÃ­a a nivel cutÃ¡neo,-,-,narrow,TP,COLECTOMY,AESI,73509004
Colectomy in Ulcerative colitis,SCTSPA,738551006,colectomÃ­a derecha con estoma,-,-,narrow,TP,COLECTOMY,AESI,738551006
Colectomy in Ulcerative colitis,SCTSPA,738552004,resecciÃ³n parcial de colon con estoma,C4545401,Partial resection of colon with stoma,narrow,TP,COLECTOMY,AESI,738552004
Colectomy in Ulcerative colitis,SCTSPA,73996007,proctopexia combinada con resecciÃ³n de la porciÃ³n sigmoidea- por abordaje abdominal,-,-,narrow,TP,COLECTOMY,AESI,73996007
Colectomy in Ulcerative colitis,SCTSPA,75312003,colectomÃ­a parcial con ileostomÃ­a y creaciÃ³n de mucofÃ­stula,-,-,narrow,TP,COLECTOMY,AESI,75312003
Colectomy in Ulcerative colitis,SCTSPA,75404005,resecciÃ³n de apÃ©ndices epliploicos,-,-,narrow,TP,COLECTOMY,AESI,75404005
Colectomy in Ulcerative colitis,SCTSPA,771568007,resecciÃ³n fibroendoscÃ³pica de lesiÃ³n de membrana mucosa colÃ³nica,-,-,narrow,TP,COLECTOMY,AESI,771568007
Colectomy in Ulcerative colitis,SCTSPA,787108001,proctocolectomÃ­a restaurativa laparoscÃ³pica con bolsillo ileal y anastomosis anal,-,-,narrow,TP,COLECTOMY,AESI,787108001
Colectomy in Ulcerative colitis,SCTSPA,787109009,resecciÃ³n de colon y recto completos,-,-,narrow,TP,COLECTOMY,AESI,787109009
Colectomy in Ulcerative colitis,SCTSPA,787874000,colectomÃ­a total laparoscÃ³pica,C2111551,Laparoscopic total colectomy,narrow,TP,COLECTOMY,AESI,787874000
Colectomy in Ulcerative colitis,SCTSPA,787875004,colectomÃ­a total e ileostomÃ­a en asa laparoscÃ³picas,-,-,narrow,TP,COLECTOMY,AESI,787875004
Colectomy in Ulcerative colitis,SCTSPA,787876003,colectomÃ­a total e ileostomÃ­a laparoscÃ³picas,-,-,narrow,TP,COLECTOMY,AESI,787876003
Colectomy in Ulcerative colitis,SCTSPA,80294005,colectomÃ­a abdominal total- con mucosectomÃ­a rectal y anastomosis quirÃºrgica ileoanal,-,-,narrow,TP,COLECTOMY,AESI,80294005
Colectomy in Ulcerative colitis,SCTSPA,81092009,rectosigmoidectomÃ­a transacra,-,-,narrow,TP,COLECTOMY,AESI,81092009
Colectomy in Ulcerative colitis,SCTSPA,82619000,resecciÃ³n del colon descendente,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,82619000
Colectomy in Ulcerative colitis,SCTSPA,82900007,colectomÃ­a parcial con coloproctostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,82900007
Colectomy in Ulcerative colitis,SCTSPA,84604002,colectomÃ­a sigmoidea,-,-,narrow,TP,COLECTOMY,AESI,84604002
Colectomy in Ulcerative colitis,SCTSPA,84952009,resecciÃ³n del colon para procedimiento de interposiciÃ³n,-,-,narrow,TP,COLECTOMY,AESI,84952009
Colectomy in Ulcerative colitis,SCTSPA,858579005,resecciÃ³n de colon- recto y conducto anal completos,-,-,narrow,TP,COLECTOMY,AESI,858579005
Colectomy in Ulcerative colitis,SCTSPA,87279008,resecciÃ³n de lesiÃ³n del colon,C0192869,Excision of lesion of colon,narrow,TP,COLECTOMY,AESI,87279008
Colectomy in Ulcerative colitis,SCTSPA,87602008,cierre de una enterostomÃ­a de intestino grueso- con resecciÃ³n y anastomosis quirÃºrgica,C0192961,Closure of enterostomy of large intestine with resection and anastomosis,narrow,TP,COLECTOMY,AESI,87602008
Colectomy in Ulcerative colitis,SCTSPA,89339008,colectomÃ­a parcial con coloproctostomÃ­a y colostomÃ­a,-,-,narrow,TP,COLECTOMY,AESI,89339008
Colectomy in Ulcerative colitis,SNOMEDCT_US,10371000132109,Colonoscopic snare polypectomy of colon,-,-,narrow,TP,COLECTOMY,AESI,10371000132109
Colectomy in Ulcerative colitis,SNOMEDCT_US,13327002,Partial colectomy by transanal approach,-,-,narrow,TP,COLECTOMY,AESI,13327002
Colectomy in Ulcerative colitis,SNOMEDCT_US,1390003,Laparoscopic-assisted sigmoid colectomy,-,-,narrow,TP,COLECTOMY,AESI,1390003
Colectomy in Ulcerative colitis,SNOMEDCT_US,1409005,Resection of ascending colon- cecum and terminal ileum,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,1409005
Colectomy in Ulcerative colitis,SNOMEDCT_US,149388006,Colectomy,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,149388006
Colectomy in Ulcerative colitis,SNOMEDCT_US,149392004,Partial colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,149392004
Colectomy in Ulcerative colitis,SNOMEDCT_US,149393009,Total colectomy,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,149393009
Colectomy in Ulcerative colitis,SNOMEDCT_US,16564004,Hartmann operation- rectal resection,-,-,narrow,TP,COLECTOMY,AESI,16564004
Colectomy in Ulcerative colitis,SNOMEDCT_US,174059005,Excision of colon and rectum,C0400076,Proctocolectomy,narrow,TP,COLECTOMY,AESI,174059005
Colectomy in Ulcerative colitis,SNOMEDCT_US,174070003,Total excision of colon NOS,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,174070003
Colectomy in Ulcerative colitis,SNOMEDCT_US,174071004,Extended right hemicolectomy,-,-,narrow,TP,COLECTOMY,AESI,174071004
Colectomy in Ulcerative colitis,SNOMEDCT_US,174072006,Extended right hemicolectomy and end-to-end anastomosis,-,-,narrow,TP,COLECTOMY,AESI,174072006
Colectomy in Ulcerative colitis,SNOMEDCT_US,174073001,Extended right hemicolectomy and anastomosis of ileum to colon,-,-,narrow,TP,COLECTOMY,AESI,174073001
Colectomy in Ulcerative colitis,SNOMEDCT_US,174080004,Right hemicolectomy and end to end anastomosis of ileum to colon,-,-,narrow,TP,COLECTOMY,AESI,174080004
Colectomy in Ulcerative colitis,SNOMEDCT_US,174081000,Right hemicolectomy and side-to-side anastomosis of ileum to transverse colon,-,-,narrow,TP,COLECTOMY,AESI,174081000
Colectomy in Ulcerative colitis,SNOMEDCT_US,174086005,Transverse colectomy and end-to-end anastomosis,-,-,narrow,TP,COLECTOMY,AESI,174086005
Colectomy in Ulcerative colitis,SNOMEDCT_US,174087001,Transverse colectomy and anastomosis of ileum to colon,-,-,narrow,TP,COLECTOMY,AESI,174087001
Colectomy in Ulcerative colitis,SNOMEDCT_US,174092004,Excision of transverse colon NOS,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,174092004
Colectomy in Ulcerative colitis,SNOMEDCT_US,174093009,Left hemicolectomy and end to end anastomosis of colon to rectum,-,-,narrow,TP,COLECTOMY,AESI,174093009
Colectomy in Ulcerative colitis,SNOMEDCT_US,174094003,Left hemicolectomy and end-to-end anastomosis of colon to colon,-,-,narrow,TP,COLECTOMY,AESI,174094003
Colectomy in Ulcerative colitis,SNOMEDCT_US,174099008,Excision of left hemicolon NOS,C0192865,Left colectomy,narrow,TP,COLECTOMY,AESI,174099008
Colectomy in Ulcerative colitis,SNOMEDCT_US,174100000,Sigmoid colectomy and end-to-end anastomosis of ileum to rectum,-,-,narrow,TP,COLECTOMY,AESI,174100000
Colectomy in Ulcerative colitis,SNOMEDCT_US,174101001,Sigmoid colectomy and anastomosis of colon to rectum,-,-,narrow,TP,COLECTOMY,AESI,174101001
Colectomy in Ulcerative colitis,SNOMEDCT_US,174241004,Anterior resection of rectum and anastomosis of colon to rectum using staples,C0400192,Anterior resection of rectum and anastomosis of colon to rectum using staples,narrow,TP,COLECTOMY,AESI,174241004
Colectomy in Ulcerative colitis,SNOMEDCT_US,174243001,Anterior resection of rectum with stapled anastomosis of sigmoid colon to anus with creation of J pouch,C0729753,Anterior resection of rectum with stapled anastomosis of sigmoid colon to anus with creation of J pouch,narrow,TP,COLECTOMY,AESI,174243001
Colectomy in Ulcerative colitis,SNOMEDCT_US,174311003,Duhamel removal of colorectal septum,C0554057,Duhamel removal of colorectal septum,narrow,TP,COLECTOMY,AESI,174311003
Colectomy in Ulcerative colitis,SNOMEDCT_US,235324002,Subtotal colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,235324002
Colectomy in Ulcerative colitis,SNOMEDCT_US,235325001,Extended left hemicolectomy,-,-,narrow,TP,COLECTOMY,AESI,235325001
Colectomy in Ulcerative colitis,SNOMEDCT_US,235326000,Right hemicolectomy,C0192861,Right colectomy,narrow,TP,COLECTOMY,AESI,235326000
Colectomy in Ulcerative colitis,SNOMEDCT_US,235328004,Segmental colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,235328004
Colectomy in Ulcerative colitis,SNOMEDCT_US,23968004,Excision of colon,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,23968004
Colectomy in Ulcerative colitis,SNOMEDCT_US,26390003,Total colectomy,C0192871,Total colectomy,narrow,TP,COLECTOMY,AESI,26390003
Colectomy in Ulcerative colitis,SNOMEDCT_US,265411006,Partial excision of rectum and sigmoid colon for prolapse,-,-,narrow,TP,COLECTOMY,AESI,265411006
Colectomy in Ulcerative colitis,SNOMEDCT_US,265412004,Rectosigmoidectomy and rectopexy,-,-,narrow,TP,COLECTOMY,AESI,265412004
Colectomy in Ulcerative colitis,SNOMEDCT_US,265869005,Colectomy,C0009274,Colectomy,narrow,TP,COLECTOMY,AESI,265869005
Colectomy in Ulcerative colitis,SNOMEDCT_US,265871005,Partial colectomy,C0149750,Partial resection of colon,narrow,TP,COLECTOMY,AESI,265871005
Colectomy in Ulcerative colitis,SNOMEDCT_US,26925005,Transverse colectomy,C0192863,Transverse colectomy,narrow,TP,COLECTOMY,AESI,26925005
Colectomy in Ulcerative colitis,SNOMEDCT_US,274025005,Colonic polypectomy,-,-,narrow,TP,COLECTOMY,AESI,274025005
Colectomy in Ulcerative colitis,SNOMEDCT_US,275017002,Duhamel removal of colorectal septum,C0554057,Duhamel removal of colorectal septum,narrow,TP,COLECTOMY,AESI,275017002
Colectomy in Ulcerative colitis,SNOMEDCT_US,276190007,Ileocolic resection,C1280902,Ileocolic resection,narrow,TP,COLECTOMY,AESI,276190007
Colectomy in Ulcerative colitis,SNOMEDCT_US,287815004,Excision of excess colostomy mucosa,-,-,narrow,TP,COLECTOMY,AESI,287815004
